Año,Región,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Parque Vehicular,Poblacion,Siniestros por parque vehicular (por 10000 vehiculos),Siniestros por cantidad de habitantes (por 100000 habitantes),Fallecidos por parque vehicular (por 10000 vehiculos),Fallecidos por cantidad de habitantes (por 100000 habitantes),Lesionados por parque vehicular (por 10000 vehiculos),Lesionados por cantidad de habitantes (por 100000 habitantes)
2002,Metropolitana,25278,481,2922,2871,13514,19307,930464,6061185,"271,67090827802","417,047161569891","5,16946383739726","7,93574193825135","207,498624342264","318,535071937253"
2002,L.B.O´Higgins,1379,134,424,377,1261,2062,124494,780627,"110,768390444519","176,652870064704","10,7635709351455","17,1656886067225","165,630472151268","264,146641097477"
2002,Maule,2010,163,547,384,2013,2944,129378,908097,"155,358716319622","221,341993201167","12,5987416716907","17,9496243242737","227,550279027346","324,194441783202"
2002,Biobio,2954,191,855,572,3479,4906,216643,1861562,"136,353355520372","158,683943913767","8,81634763181824","10,2602008420885","226,455505139792","263,542122153331"
2002,Araucanía,1120,119,358,268,1303,1929,95609,869535,"117,143783535023","128,804475955539","12,4465270005962","13,6854755702761","201,759248606303","221,842709034139"
2002,Los Lagos,1194,119,447,360,966,1773,121903,1073135,"97,9467281363051","111,26279545444","9,76185983938049","11,0890055771175","145,443508363207","165,216864606969"
2002,Aysén,231,14,51,51,247,349,12261,91492,"188,402251039883","252,48109124295","11,4183182448414","15,3018843177546","284,642361960688","381,454116206882"
2002,Magallanes,252,13,83,75,227,385,38928,150826,"64,7348951911221","167,079946428335","3,33949856144677","8,61920358558869","98,9005343197698","255,261029265511"
2002,Total,41734,1549,7317,6284,30521,44122,2218062,15116435,"188,155245434979","276,083613629801","6,98357394878953","10,2471250661945","198,921400754352","291,880989135335"
2003,Tarapacá,1423,66,237,208,1556,2001,95791,437129,"148,552578008372","325,533195006508","6,89000010439394","15,0985178288331","208,892275892307","457,759608719623"
2003,Antofagasta,1198,59,322,262,1351,1935,77798,501554,"153,988534409625","238,857630484454","7,58374251266099","11,7634392308705","248,721046813543","385,800930707362"
2003,Atacama,396,31,133,87,536,756,41280,256458,"95,9302325581395","154,411248625506","7,50968992248062","12,0877492610876","183,139534883721","294,78511101233"
2003,Coquimbo,1266,54,229,190,965,1384,77135,613502,"164,127827834316","206,356295496999","7,00071303558696","8,80192729608053","179,425682245414","225,590136625471"
2003,Valparaíso,3285,177,658,411,3233,4302,260161,1724055,"126,267964837159","190,539164933833","6,80347938391996","10,2664938183527","165,359142992224","249,52800229691"
2003,Metropolitana,27110,470,3167,2620,14190,19977,942447,6131288,"287,655433143721","442,158319752718","4,98701783760784","7,66559978914708","211,969479450834","325,820610612322"
2003,L.B.O´Higgins,1301,160,451,376,1201,2028,123377,789556,"105,4491517868","164,776152673148","12,9683814649408","20,2645537491958","164,374235068125","256,853218771056"
2003,Maule,2194,176,488,361,2155,3004,135115,921711,"162,380194649003","238,035566462807","13,0259408651889","19,0949223780556","222,329127039929","325,915606952722"
2003,Biobio,3469,248,885,613,4020,5518,224026,1873285,"154,848097988626","185,182713788879","11,0701436440413","13,2387757335376","246,310696079919","294,562760071212"
2003,Araucanía,997,115,344,230,1190,1764,98762,875380,"100,949758004091","113,893394868514","11,6441546343735","13,1371518654756","178,611206739434","201,512486006077"
2003,Los Lagos,1290,124,442,290,1182,1914,122591,1082343,"105,227953112382","119,185877305069","10,1149350278569","11,4566269657585","156,128916478371","176,83858074566"
2003,Aysén,280,5,37,47,228,312,13060,94370,"214,395099540582","296,704461163505","3,82848392036753","5,29829394934831","238,897396630934","330,613542439335"
2003,Magallanes,241,18,104,77,259,440,38481,161326,"62,628310075102","149,38695560542","4,67763311764247","11,1575319539318","114,342142875705","272,739669984999"
2003,Total,44450,1703,7497,5772,32066,45335,2250024,15280273,"197,553448318774","290,897944035424","7,56880815493524","11,145088834473","201,486739696999","296,689725373362"
2004,Tarapacá,1383,54,286,212,1597,2095,98751,445664,"140,049214691497","310,323472391757","5,46829905519944","12,1167516335176","212,149750382275","470,085086522582"
2004,Antofagasta,1512,49,316,249,1555,2120,82478,509124,"183,321613036204","296,980696254743","5,94097820024734","9,62437441566298","257,038240500497","416,401505330725"
2004,Atacama,455,28,133,103,601,837,43152,258580,"105,441230997405","175,961017866811","6,48869113830182","10,8283703302653","193,965517241379","323,690927372573"
2004,Coquimbo,1299,63,196,221,1052,1469,82023,624794,"158,370213232874","207,908526650384","7,68077246625946","10,0833234634135","179,096107189447","235,117494726262"
2004,Valparaíso,4167,155,651,320,3970,4941,264185,1742458,"157,730378333365","239,144932044273","5,8671007059447","8,89547983366027","187,028029600469","283,564941020099"
2004,Metropolitana,27425,517,2857,2365,14371,19593,1004750,6201400,"272,95347101269","442,238849292095","5,14555859666584","8,33682716805883","195,003732271709","315,944786661077"
2004,L.B.O´Higgins,1482,154,460,340,1521,2321,125131,798484,"118,4358791986","185,6017152504","12,3071021569395","19,2865480084761","185,485611079589","290,675830699175"
2004,Maule,2010,147,426,321,1989,2736,133752,930834,"150,278126682218","215,935386975551","10,9904898618338","15,7922894952269","204,557688856989","293,929959584631"
2004,Biobio,3675,265,921,580,4241,5742,233521,1885008,"157,373426801016","194,959384787757","11,3480158101413","14,058295773811","245,887950120118","304,614091823483"
2004,Araucanía,973,125,332,220,1098,1650,101962,881225,"95,4277083619388","110,4144798434","12,2594692140209","14,1847995687821","161,824993625076","187,239354307924"
2004,Los Lagos,1735,167,479,322,1563,2364,126553,1091704,"137,096710469132","158,925862688055","13,1960522468847","15,2971867832306","186,7992066565","216,542212907528"
2004,Aysén,302,14,42,48,295,385,13781,95147,"219,142297365939","317,403596540091","10,1589144474276","14,7140740117923","279,37014730426","404,637035324288"
2004,Magallanes,202,19,67,31,159,257,41623,162373,"48,530860341638","124,404919537115","4,56478389352041","11,7014528277485","61,7447084544603","158,277546143755"
2004,Total,46620,1757,7166,5332,34012,46510,2351662,15444110,"198,242774684457","301,862651845914","7,47131177864846","11,376505347346","197,775020389835","301,150406206638"
2005,Tarapacá,1467,49,270,171,1758,2199,97858,454199,"149,911095669235","322,986180066447","5,00725541090151","10,7882227834055","224,713360174947","484,149018381811"
2005,Antofagasta,1672,56,333,296,1742,2371,88968,516694,"187,932739861523","323,595783964977","6,29439798579264","10,8381363050471","266,500314719899","458,878949629762"
2005,Atacama,404,32,144,93,637,874,45445,260702,"88,8986687204313","154,966206626723","7,04147871052921","12,2745510199385","192,320387281329","335,24867473207"
2005,Coquimbo,1519,53,257,235,1119,1611,88282,636089,"172,062255046329","238,803060578001","6,00348881991799","8,33216735393947","182,483405450715","253,266445418801"
2005,Valparaíso,4284,150,668,332,3745,4745,276951,1760861,"154,684402656066","243,290072299858","5,41612054117876","8,51855995447682","171,329946452622","269,47044655995"
2005,Metropolitana,25045,467,2394,1942,13997,18333,1066785,6271512,"234,770830111035","399,345484788995","4,37763935563398","7,4463701895173","171,852810078882","292,321851572635"
