Año,Usuario,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Total de Vehiculos
2014,Furgón,4474,22,159,109,1550,1818,179144
2014,Minibus,1303,10,55,45,656,756,30464
2014,Motocicleta,5878,123,1291,437,3245,4973,167876
2014,Peatón,11491,615,1978,780,6061,8819,17082387
2015,Automóvil,55212,470,2119,1341,20642,24102,3020325
2015,Bus / Taxibus,7638,48,334,249,3523,4106,53024
2015,Camión,6045,84,226,141,1116,1483,148093
2015,Camioneta,16639,138,700,410,5237,6347,825711
2015,Furgón,4511,21,174,100,1585,1859,184081
2015,Minibus,1348,3,66,41,736,843,30864
2015,Motocicleta,6284,153,1371,433,3426,5230,173056
2015,Peatón,9523,564,2008,696,6040,8744,17246225
2016,Automóvil,64247,492,2445,1560,23011,27016,3179522
2016,Bus / Taxibus,8272,37,346,210,3331,3887,53945
2016,Camión,6876,74,239,128,1335,1702,150529
2016,Camioneta,19073,153,756,539,5892,7187,863219
2016,Furgón,5258,44,199,112,1576,1887,190727
2016,Minibus,1776,3,73,40,917,1030,29632
2016,Motocicleta,7258,145,1673,538,3794,6005,175019
2016,Peatón,9929,603,2194,750,6035,8979,17410063
2017,Automóvil,67386,378,2275,1467,22898,26640,3341910
2017,Bus / Taxibus,8255,33,393,223,3564,4180,55142
2017,Camión,7152,70,243,123,1295,1661,151884
2017,Camioneta,20135,128,799,521,5619,6939,903756
2017,Furgón,5219,28,179,136,1512,1827,197901
2017,Minibus,1874,13,70,45,833,948,27407
2017,Motocicleta,7098,161,1629,518,3637,5784,177961
2017,Peatón,10046,537,2138,785,6030,8953,17574003
2018,Automóvil,63238,442,2125,1405,21084,24614,3506396
2018,Bus / Taxibus,7780,23,358,214,3201,3773,57002
2018,Camión,6566,78,225,134,1001,1360,156222
2018,Camioneta,18818,138,637,406,5329,6372,956366
2018,Furgón,4920,20,144,92,1512,1748,205146
2018,Minibus,1691,11,68,68,885,1021,25526
2018,Motocicleta,6835,140,1610,559,3361,5530,189588
2018,Peatón,9456,537,1904,831,5589,8324,17737841
