Año,Mes,Día,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Parque Vehicular,Poblacion,Siniestros por parque vehicular (por 10000 vehiculos),Siniestros por cantidad de habitantes (por 100000 habitantes),Fallecidos por parque vehicular (por 10000 vehiculos),Fallecidos por cantidad de habitantes (por 100000 habitantes),Lesionados por parque vehicular (por 10000 vehiculos),Lesionados por cantidad de habitantes (por 100000 habitantes)
2000,Abril,Domingo,528,24,138,86,490,714,2134940,14788299,"2,47313741838178","3,57039034712512","0,112415337199172","0,162290470323869","3,34435628167536","4,8281414921351"
2000,Total Abril,,3391,162,704,596,2681,3981,2134940,14788299,"15,8833503517663","22,9302910361766","0,75880352609441","1,09546067468612","18,6468940579126","26,9199317649718"
2000,Mayo,Lunes,567,28,109,90,380,579,2134940,14788299,"2,65581234133044","3,8341123614014","0,131151226732367","0,189338882044514","2,71202000993002","3,91525759656334"
2000,Mayo,Martes,513,20,99,81,304,484,2134940,14788299,"2,4028778326323","3,4689588031727","0,0936794476659766","0,135242058603224","2,26704263351663","3,27285781819802"
2000,Mayo,Miércoles,552,22,86,97,401,584,2134940,14788299,"2,58555275558095","3,73268081744898","0,103047392432574","0,148766264463547","2,73543987184652","3,94906811121414"
2000,Mayo,Jueves,417,14,68,66,294,428,2134940,14788299,"1,95321648383561","2,81979692187722","0,0655756133661836","0,0946694410222569","2,0047401800519","2,894180054109"
2000,Mayo,Viernes,466,18,92,66,357,515,2134940,14788299,"2,18273113061725","3,15113996545512","0,0843115028993789","0,121717852742902","2,4122457773989","3,48248300903302"
2000,Mayo,Sábado,447,30,111,114,329,554,2134940,14788299,"2,09373565533458","3,02266000978206","0,140519171498965","0,202863087904836","2,59492070034755","3,74620502330931"
2000,Mayo,Domingo,427,40,117,82,378,577,2134940,14788299,"2,0000562076686","2,88741795117883","0,187358895331953","0,270484117206448","2,70265206516342","3,90173339070302"
2000,Total Mayo,,3389,172,682,596,2443,3721,2134940,14788299,"15,8739824069997","22,9167668303163","0,805643249927398","1,16308170398773","17,4290612382549","25,1617850031298"
